Company,Year,ROA,ROE,Revenue,Total Assets,PAT,Equity
IDJ,2016,"-2,29%","-2,37%",25.568,276.851,-6.329,267.376
IDJ,2017,"0,94%","1,12%",301.816,321.328,3.017,270.220
IDJ,2018,"11,82%","16,06%",245.133,437.219,51.693,321.840
IDJ,2019,"2,10%","8,25%",378.185,1.389.695,29.155,353.555
IDJ,2020,"3,21%","19,54%",410.721,2.455.335,78.759,403.088
IDJ,2021,"5,87%","20,52%",893.403,3.455.629,202.807,988.154
IDJ,2022,"3,12%","7,59%",816.873,4.729.214,147.495,1.944.309
IDJ,2023,"2,34%","5,33%",862.044,4.684.044,109.395,2.053.718
IDJ,2024,"2,27%","4,56%",717.532,4.210.442,95.605,2.097.265
IDJ,2025,"-3,13%","-5,23%",1.058.640,3.330.305,-104.196,1.993.078
NRC,2015,,,,,,
NRC,2016,"5,82%","5,90%",2.379,32.468,1.889,31.997
NRC,2017,"12,43%","20,58%",90.116,260.060,32.329,157.112
NRC,2018,"13,99%","34,33%",176.745,502.612,70.335,204.876
NRC,2019,"10,12%","20,58%",532.656,855.842,86.599,420.742
NRC,2020,"8,08%","13,01%",207.249,768.639,62.127,477.489
NRC,2021,"9,77%","17,09%",444.037,2.022.856,197.610,1.155.974
NRC,2022,"-3,18%","-5,66%",194.245,2.276.809,-72.513,1.282.005
NRC,2023,"0,57%","0,92%",4.629,2.083.205,11.929,1.293.904
NRC,2024,"-7,11%","-11,87%",5.149,1.929.368,-137.237,1.155.974
NRC,2025,"0,45%","0,76%",91.608,1.970.303,8.818,1.167.502
SCG,2015,,,,,,
SCG,1026,,,,,,
SCG,2017,,,,,,
SCG,2018,,,,,,
SCG,2019,"1,34%","5,10%",128.303,401.885,5.377,105.377
SCG,2020,"6,71%","15,14%",1.420.346,1.344.048,90.175,595.552
SCG,2021,"4,06%","17,72%",2.857.280,4.871.164,197.821,1.116.529
SCG,2022,"0,44%","2,92%",1.742.069,7.505.301,33.281,1.140.105
SCG,2023,"0,30%","1,75%",793.598,6.799.012,20.355,1.161.219
SCG,2024,"2,33%","14,55%",2.705.065,8.501.550,197.821,1.359.542
SCG,2025,"2,75%","19,20%",6.520.581,11.762.359,323.103,1.682.606
LDG,2015,"6,67%","15,40%",519.862,2.314.636,154.319,1.002.117
LDG,2016,"5,66%","13,45%",496.560,2.805.536,158.740,1.180.200
LDG,2017,"7,76%","14,12%",663.317,3.645.523,282.894,2.004.008
LDG,2018,"12,39%","23,47%",1.718.949,4.869.110,603.154,2.570.233
LDG,2019,"10,31%","19,32%",784.58,5.848.491,603.229,3.123.026
LDG,2020,"0,23%","0,42%",1.388.440,5.531.704,12.910,3.104.404
LDG,2021,"2,06%","4,34%",321.282,6.841.069,140.653,3.243.923
LDG,2022,"0,05%","0,13%",193.172,7.860.785,4.243,3.241.936
LDG,2023,"-7,26%","-19,42%",-36.509,7.265.457,-527.174,2.713.917
LDG,2024,"-24,46%","-124,33%",-173.233,6.157.209,-1.505.752,1.211.097
LDG,2025,"1,15%","7,11%",403.021,8.040.290,92.726,1.303.824
HDG,2015,"4,04%","9,45%",1.479.927,3.054.981,123.459,1.306.733
HDG,2016,"3,52%","12,84%",1.988.494,6.700.316,235.570,1.834.018
HDG,2017,"2,12%","8,56%",2.296.976,8.415.503,178.375,2.084.146
HDG,2018,"5,71%","23,54%",3.221.442,11.086.580,633.433,2.690.685
HDG,2019,"6,72%","28,40%",4.342.517,13.866.321,931.687,3.280.371
HDG,2020,"7,06%","24,62%",4.998.578,13.878.648,979.142,3.977.421
HDG,2021,"6,90%","20,34%",3.777.436,15.891.544,1.096.498,5.390.330
HDG,2022,"7,25%","16,73%",3.581.191,15.104.924,1.095.618,6.548.012
HDG,2023,"4,61%","9,20%",2.889.384,14.438.352,665.078,7.228.748
HDG,2024,"2,51%","4,72%",2.717.613,13.849.363,348.310,7.375.981
HDG,2025,"5,25%","9,17%",2.786.540,14.685.890,770.390,8.398.383
DLG,2015,"1,19%","3,76%",1.637.715,6.815.607,81.061,2.156.440
DLG,2016,"0,94%","2,47%",2.477.282,7.010.968,65.727,2.658.683
DLG,2017,"0,71%","1,77%",2.897.509,8.312.491,59.362,3.351.760
DLG,2018,"0,16%","0,41%",2.914.292,8.712.258,14.353,3.482.155
DLG,2019,"-0,09%","-0,22%",2.873.263,8.614.513,-7.459,3.430.054
DLG,2020,"-11,30%","-37,09%",2.034.492,8.230.569,-929.778,2.506.555
DLG,2021,"0,17%","0,51%",1.544.442,7.070.349,11.793,2.318.835
DLG,2022,"-21,33%","-107,95%",1.347.872,5.611.846,-1.197.177,1.109.021
DLG,2023,"-11,46%","-109,71%",1.122.334,5.051.949,-578.740,527.515
DLG,2024,"5,61%","32,46%",1.058.722,4.348.369,244.031,751.873
DLG,2025,"9,90%","41,91%","699,212",4.215.910,417.197,995.422
IDC,2015,"1,55%","6,88%",4.609.292,13.110.842,203.136,2.952.927
IDC,2016,"3,10%","11,03%",4.422.688,12.517.744,388.658,3.524.162
IDC,2017,"0,75%","2,82%",4.920.866,14.361.473,107.117,3.798.481
IDC,2018,"1,51%","4,99%",4.154.513,13.864.800,208.765,4.183.561
IDC,2019,"2,41%","8,14%",4.928.746,14.315.622,344.697,4.232.603
IDC,2020,"2,08%","6,94%",4.541.856,14.622.957,304.426,4.389.202
