Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Asset Turnover Ratio,Equity,Nợ phải trả,LEV
KOS,2015,0,0.0017,0.0028,3858,278520,465,0.0139,167085,111436,0.400
KOS,2016,0,0.0395,0.0504,150576,519956,20536,0.2896,407621,112335,0.216
KOS,2017,0,0.0355,0.0590,407689,747138,26519,0.5457,449140,297998,0.399
KOS,2018,0,0.0263,0.0404,900018,1711132,45064,0.5260,1116704,594428,0.347
KOS,2019,0,0.0105,0.0176,1062828,1908703,20063,0.5568,1136767,771936,0.404
KOS,2020,1,0.0100,0.0189,1308626,2198472,21912,0.5952,1158678,1039794,0.473
KOS,2021,1,0.0058,0.0100,1106568,3874815,22549,0.2856,2263541,1611274,0.416
KOS,2022,0,0.0045,0.0096,1343460,4835564,21830,0.2778,2285227,2550337,0.527
KOS,2023,0,0.0044,0.0092,1315815,4752985,21138,0.2768,2306365,2446620,0.515
KOS,2024,0,0.0045,0.0094,1438927,4851309,21739,0.2966,2318635,2532674,0.522
KOS,2025,0,0.0039,0.0082,1555288,4866349,19067,0.3196,2337702,2528647,0.520
SZC,2015,0,0.0292,0.0565,155385,2131521,62320,0.0729,1103312,1028209,0.482
SZC,2016,0,0.0242,0.0405,101363,1820810,44140,0.0557,1089720,731090,0.402
SZC,2017,0,0.0330,0.0650,219670,2201412,72703,0.0998,1118180,1083232,0.492
SZC,2018,0,0.0377,0.0842,290230,2581010,97352,0.1124,1156406,1424604,0.552
SZC,2019,0,0.0434,0.1122,329422,3089826,134129,0.1066,1195935,1893892,0.613
SZC,2020,1,0.0421,0.1471,432981,4417746,186001,0.0980,1264237,3153509,0.714
SZC,2021,1,0.0576,0.2208,713222,5616375,323629,0.1270,1465585,4150790,0.739
SZC,2022,0,0.0312,0.1286,858889,6334996,197367,0.1356,1534252,4800744,0.758
SZC,2023,0,0.0314,0.1260,817946,6961129,218873,0.1175,1737315,5223813,0.750
SZC,2024,0,0.0367,0.0973,870683,8225800,302127,0.1058,3105551,5120249,0.622
SZC,2025,0,0.0422,0.1077,1097946,8171471,344801,0.1344,3202889,4968583,0.608
FIR,2015,0,0.0769,0.0995,3675,2587,199,1.4206,2000,587,0.227
FIR,2016,0,0.1006,0.1125,9741,25208,2535,0.3864,22535,2673,0.106
FIR,2017,0,0.0621,0.1027,60760,245687,15249,0.2473,148481,97206,0.396
FIR,2018,0,0.1179,0.3413,176269,652463,76941,0.2702,225440,427023,0.654
FIR,2019,0,0.2051,0.2900,327863,450217,92324,0.7282,318405,131812,0.293
FIR,2020,1,0.0879,0.1323,176157,549608,48324,0.3205,365373,183062,0.333
FIR,2021,1,0.0627,0.0981,196415,633469,39745,0.3101,405219,228250,0.360
FIR,2022,0,0.0880,0.1586,384512,1302864,114590,0.2951,722336,580527,0.446
FIR,2023,0,0.0136,0.0257,169125,1402922,19087,0.1206,741423,661499,0.472
FIR,2024,0,0.0005,0.0008,123962,1339408,611,0.0925,742033,597375,0.446
FIR,2025,0,0.0016,0.0026,108263,1236558,1968,0.0876,744000,492557,0.398
SJS,2015,0,0.0393,0.1131,855452,5734361,225105,0.1492,1990459,3743902,0.653
SJS,2016,0,0.0300,0.0847,514269,5969111,178993,0.0862,2112258,3856853,0.646
SJS,2017,0,0.0209,0.0577,-20166,6284643,131256,-0.0032,2275437,4009206,0.638
SJS,2018,0,0.0170,0.0487,467073,6451992,109587,0.0724,2251956,4200035,0.651
SJS,2019,0,0.0158,0.0469,695959,6652903,104849,0.1046,2235291,4417612,0.664
SJS,2020,1,0.0043,0.0142,1135902,7047540,30565,0.1612,2153376,4894165,0.694
SJS,2021,1,0.0093,0.0295,747036,6946047,64778,0.1075,2198791,4747257,0.683
SJS,2022,0,0.0177,0.0465,379811,6779528,119686,0.0560,2575443,4204085,0.620
SJS,2023,0,0.0248,0.0671,416024,7473979,185337,0.0557,2761587,4712392,0.631
SJS,2024,0,0.0342,0.0897,646015,7844263,268508,0.0824,2993878,4850385,0.618
SJS,2025,0,0.0459,0.1049,750726,7880010,361321,0.0953,3445351,4434659,0.563
ASM,2015,0,0.0219,0.0352,880616,3908502,85631,0.2253,2436158,1472344,0.377
ASM,2016,0,0.0355,0.0655,1406490,4880522,173117,0.2882,2644574,2235949,0.458
ASM,2017,0,0.0310,0.0613,2100781,5610793,174212,0.3744,2841505,2769288,0.494
ASM,2018,0,0.0867,0.1810,8887128,11975460,1038544,0.7421,5737393,6238067,0.521
ASM,2019,0,0.0408,0.1011,14223773,15596312,636925,0.9120,6301872,9294439,0.596
ASM,2020,1,0.0270,0.0692,12524614,17604595,475464,0.7114,6872109,10732487,0.610
ASM,2021,1,0.0330,0.0793,11397926,18169114,600437,0.6273,7576340,10592774,0.583
ASM,2022,0,0.0329,0.0802,13749222,19086345,628390,0.7204,7839818,11246527,0.589
ASM,2023,0,0.0096,0.0249,11973154,20307453,195034,0.5896,7826282,12481171,0.615
ASM,2024,0,0.0079,0.0224,12013118,22856056,180854,0.5256,8087735,14768321,0.646
ASM,2025,0,0.0016,0.0046,11317469,23476528,37712,0.4821,8213442,15263085,0.650
NDN,2015,0,0.1176,0.1450,242135,499712,58776,0.4845,405457,94255,0.189
NDN,2016,0,0.0660,0.0858,281812,663155,43789,0.4250,510317,152838,0.230
NDN,2017,0,0.1129,0.1562,228189,775451,87539,0.2943,560251,215200,0.278
NDN,2018,0,0.0517,0.1539,171375,1701144,88023,0.1007,572089,1129055,0.664
NDN,2019,0,0.0313,0.1021,41620,2186561,68446,0.0190,670539,1516023,0.693
NDN,2020,1,0.1493,0.3337,874068,2204327,329174,0.3965,986558,1217769,0.552
NDN,2021,1,0.1534,0.2367,509429,1641851,251788,0.3103,1063908,577943,0.352
NDN,2022,0,-0.0955,-0.1594,3424,1497218,-142961,0.0023,896654,600564,0.401
NDN,2023,0,0.1646,0.2072,435757,1325203,218146,0.3288,1052745,272458,0.206
NDN,2024,0,0.0283,0.0332,55617,1277801,36176,0.0435,1088771,189031,0.148
NDN,2025,0,0.1307,0.1374,26564,1300950,170082,0.0204,1237886,63064,0.048
NTL,2015,0,0.0735,0.1053,473237,1277582,93953,0.3704,892604,384979,0.301
NTL,2016,0,0.0543,0.0778,433359,1376714,74756,0.3148,961381,415333,0.302
NTL,2017,0,0.0581,0.0957,301646,1597602,92760,0.1888,968998,628604,0.393
NTL,2018,0,0.0602,0.1018,714124,1680048,101166,0.4251,993984,686064,0.408
NTL,2019,0,0.1440,0.2189,835098,1623395,233809,0.5144,1068195,555200,0.342
NTL,2020,1,0.1632,0.2537,652853,1809935,295405,0.3607,1164263,645672,0.357
NTL,2021,1,0.1268,0.1936,576724,1876989,237956,0.3073,1229067,647922,0.345
NTL,2022,0,0.0632,0.0847,391277,1685280,106500,0.2322,1257920,427360,0.254
NTL,2023,0,0.1789,0.2491,914024,2035335,364190,0.4491,1462180,573154,0.282
