Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Equity
SGR,2025,0,0.0286,0.0546,218631,2736864,78255,1433652
VGC,2015,0,0.0282,0.0994,7819905,11663300,328387,3302134
VGC,2016,0,0.0396,0.1176,8138779,12989462,513750,4367114
VGC,2017,0,0.0374,0.0893,9196506,16034245,600137,6719744
VGC,2018,0,0.0342,0.0823,8812096,16533192,565495,6871919
VGC,2019,0,0.0328,0.0923,10145642,19887754,651502,7055076
VGC,2020,1,0.0282,0.0855,9433049,21323240,600750,7024115
VGC,2021,1,0.0556,0.1464,11194313,21997051,1223652,8356844
VGC,2022,0,0.0753,0.1902,14592450,22958921,1728187,9085429
VGC,2023,0,0.0505,0.1279,13193818,24100190,1218120,9524318
VGC,2024,0,0.0445,0.1110,11906356,24827419,1104735,9953000
VGC,2025,0,0.0531,0.1213,13314758,26436635,1403242,11570893
OGC,2015,0,0.0898,0.3048,929713,6920109,621262,2038279
OGC,2016,0,-0.1209,-0.6075,1170774,6020997,-727936,1198195
OGC,2017,0,-0.0882,-0.5598,1133714,5354709,-472517,844155
OGC,2018,0,0.0055,0.0297,1242730,4714935,26014,874765
OGC,2019,0,0.0175,0.0981,1208926,4263864,74625,760795
OGC,2020,1,0.0296,0.0901,903545,3760343,111310,1234896
OGC,2021,1,-0.0259,-0.0749,409277,2932844,-75970,1013950
OGC,2022,0,0.0135,0.0380,1011062,2986914,40439,1063505
OGC,2023,0,0.0197,0.0604,984685,4767834,94080,1557099
OGC,2024,0,0.0265,0.0688,1006899,4508611,119298,1734999
OGC,2025,0,0.0151,0.0353,1141408,4449009,67112,1898922
VC3,2015,0,0.0349,0.1773,477037,1232421,42965,242305
VC3,2016,0,0.0651,0.2511,557042,1157266,75304,299950
VC3,2017,0,0.0554,0.1309,542239,785519,43501,332441
VC3,2018,0,0.0250,0.0550,290305,843835,21077,383562
VC3,2019,0,0.0490,0.1157,330006,1025506,50281,434479
VC3,2020,1,0.0104,0.0190,122075,1331255,13852,727417
VC3,2021,1,0.0403,0.0782,200867,1519857,61202,782760
VC3,2022,0,0.0198,0.0612,514210,3713348,73392,1199091
VC3,2023,0,0.0418,0.1052,806322,3368739,140972,1340239
VC3,2024,0,0.0212,0.0466,611368,3086772,65466,1405753
VC3,2025,0,0.0329,0.0671,607677,3030224,99765,1487058
VPI,2015,0,-0.0017,-0.0102,223333,2110483,-3505,343903
VPI,2016,0,0.0066,0.0492,772104,2693511,17896,363505
VPI,2017,0,0.1128,0.2070,875449,3737475,421718,2036804
VPI,2018,0,0.0627,0.1716,258265,6722364,421646,2457569
VPI,2019,0,0.0564,0.1881,3057265,8972345,506343,2691168
VPI,2020,1,0.0310,0.1017,2164999,9703534,300922,2958224
VPI,2021,1,0.0354,0.1026,2610596,9835484,348132,3394445
